gender,ethnicity,birth,stark,star1,star2,star3,readk,read1,read2,read3,mathk,math1,math2,math3,lunchk,lunch1,lunch2,lunch3,schoolk,school1,school2,school3,degreek,degree1,degree2,degree3,ladderk,ladder1,ladder2,ladder3,experiencek,experience1,experience2,experience3,tethnicityk,tethnicity1,tethnicity2,tethnicity3,systemk,system1,system2,system3,schoolidk,schoolid1,schoolid2,schoolid3,student_id
female,cauc,1979 Q4,regular,regular+aide,regular+aide,regular+aide,522,651,669,675,559,627,659,700,non-free,non-free,non-free,non-free,urban,urban,urban,urban,bachelor,master,master,master,level1,level1,level1,level1,8,8,19,16,cauc,cauc,cauc,cauc,6,6,6,6,9,9,9,9,ccd52c
female,cauc,1980 Q2,regular+aide,regular,regular,regular,413,553,611,610,459,553,603,642,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,master,master,level1,level1,apprentice,level1,5,12,1,18,cauc,cauc,cauc,cauc,15,15,15,15,39,39,39,39,5b801f
male,cauc,1980 Q3,small,regular,regular,regular,418,475,526,577,439,497,522,585,non-free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,master,level1,notladder,notladder,level1,8,12,13,8,cauc,cauc,cauc,cauc,21,21,21,21,49,50,50,50,db9ff7
female,afam,1980 Q1,small,small,small,small,414,509,588,590,434,497,517,582,free,free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,master,level1,level1,level1,level1,8,7,15,13,cauc,cauc,cauc,cauc,4,4,4,4,5,5,5,5,c072e2
female,cauc,1980 Q1,small,small,small,small,458,521,596,606,559,542,572,582,free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,notladder,level1,level1,4,27,10,4,cauc,cauc,cauc,cauc,16,16,16,16,40,40,40,40,d5754c
female,cauc,1980 Q2,small,small,small,small,445,553,579,624,459,526,557,589,non-free,free,free,free,urban,urban,urban,urban,master,bachelor,bachelor,bachelor,level1,level1,level1,level1,7,18,22,8,cauc,cauc,cauc,cauc,6,6,6,6,9,9,9,9,936607
male,cauc,1979 Q3,small,small,small,small,476,564,637,686,576,601,620,700,non-free,non-free,non-free,non-free,urban,urban,urban,urban,master+,master,master,bachelor,level1,level1,level1,level1,12,15,14,36,cauc,cauc,cauc,cauc,7,7,7,7,10,10,10,10,aefbe0
female,cauc,1980 Q4,regular,regular,regular,regular,467,604,659,686,484,567,626,663,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,master,level1,apprentice,probation,level1,4,2,2,13,cauc,cauc,cauc,cauc,42,42,42,42,80,80,80,80,c66857
male,cauc,1980 Q1,small,small,small,small,465,590,650,665,602,612,699,726,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,master,bachelor,master,bachelor,level1,level1,apprentice,level1,18,18,15,5,cauc,cauc,afam,cauc,17,17,17,17,41,41,41,41,e1e57c
female,afam,1980 Q2,regular,regular,regular+aide,small,487,509,579,633,547,526,620,634,non-free,non-free,non-free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,bachelor,master,level1,probation,level1,level2,12,5,35,9,afam,cauc,afam,afam,11,11,11,11,27,27,27,27,4f6982
female,cauc,1980 Q2,small,small,small,small,447,487,560,560,500,497,528,585,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,master,bachelor,bachelor,bachelor,level1,level1,level1,notladder,14,4,25,21,afam,cauc,afam,cauc,11,11,11,11,21,21,21,21,ce56ad
female,cauc,1980 Q3,small,small,small,small,430,590,622,647,468,542,577,614,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,master,bachelor,level1,level1,level1,level1,13,6,17,10,cauc,cauc,cauc,cauc,6,6,6,6,8,8,8,8,764799
female,cauc,1979 Q4,regular,regular+aide,regular+aide,regular,440,604,643,633,513,545,570,596,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,apprentice,notladder,apprentice,5,2,19,1,cauc,cauc,cauc,cauc,19,19,19,19,47,47,47,47,e3ef4a
male,afam,1980 Q2,regular+aide,regular+aide,regular+aide,regular+aide,410,475,547,562,405,495,535,582,non-free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,master,level1,level1,notladder,level1,13,16,4,14,cauc,cauc,afam,cauc,8,8,8,8,11,11,11,11,524b96
female,cauc,1980 Q1,small,small,regular+aide,regular+aide,413,533,588,644,506,578,587,663,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,master,master,master,level1,level1,level1,level1,5,11,8,16,cauc,cauc,cauc,cauc,12,12,12,12,35,35,34,34,e9cdb2
female,afam,1980 Q1,regular+aide,regular+aide,regular,small,461,480,573,631,547,553,659,612,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,bachelor,bachelor,level1,apprentice,level1,level2,10,3,4,15,afam,cauc,afam,afam,11,11,11,11,27,27,27,27,c68218
female,afam,1979 Q4,small,small,small,small,465,439,533,583,626,472,541,603,non-free,non-free,non-free,free,inner-city,inner-city,inner-city,inner-city,bachelor,master,bachelor,bachelor,apprentice,level1,notladder,probation,2,17,2,3,cauc,afam,cauc,afam,11,11,11,11,30,30,30,30,923b0e
male,cauc,1980 Q2,regular+aide,regular+aide,regular+aide,regular+aide,436,544,614,644,459,532,639,659,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,master,bachelor,master,level1,apprentice,level1,level2,5,2,22,10,cauc,cauc,cauc,cauc,15,15,15,15,39,39,39,39,7f16f5
male,cauc,1980 Q3,regular+aide,regular+aide,regular+aide,regular+aide,428,571,614,693,559,612,699,684,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,level1,12,39,9,16,cauc,cauc,cauc,cauc,9,9,9,9,12,12,12,12,40a265
male,afam,1980 Q2,regular+aide,regular,regular,regular,434,604,604,641,473,592,639,726,free,free,non-free,non-free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,bachelor,bachelor,level1,probation,apprentice,apprentice,11,0,1,3,cauc,afam,cauc,cauc,18,18,18,18,45,45,45,45,453c0b
male,cauc,1979 Q4,small,small,small,small,443,629,643,654,500,578,632,691,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master+,master,master,master,level1,level1,level1,level1,8,3,12,14,cauc,cauc,cauc,cauc,41,41,41,41,78,78,78,78,98123c
male,cauc,1980 Q2,small,small,small,small,424,571,659,675,520,601,659,684,free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,phd,master,level1,level3,level3,level1,2,19,12,3,cauc,cauc,cauc,cauc,15,15,15,15,39,39,39,39,ae0ec7
male,afam,1980 Q3,regular+aide,regular,regular,regular,418,499,568,606,473,500,599,604,free,free,free,free,inner-city,inner-city,inner-city,inner-city,master,master,master,bachelor,level1,level1,probation,probation,22,32,0,0,cauc,afam,afam,afam,11,11,11,11,33,33,33,33,0dbdac
male,afam,1980 Q1,small,small,small,small,440,438,533,569,468,477,572,559,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,level1,14,4,14,8,cauc,cauc,cauc,cauc,11,11,11,11,32,32,32,32,03a0de
male,cauc,1980 Q2,regular+aide,small,small,small,436,544,618,650,513,592,574,642,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,bachelor,bachelor,master,level1,level1,level1,level1,7,9,15,18,cauc,cauc,cauc,cauc,4,4,4,4,4,4,4,4,a16407
male,afam,1980 Q1,regular,regular+aide,regular+aide,regular+aide,414,490,541,597,484,512,577,645,free,free,free,free,rural,rural,rural,rural,master,master,bachelor,bachelor,level1,level1,level1,probation,15,16,31,0,cauc,cauc,afam,cauc,5,5,5,5,7,7,7,7,bcac94
female,afam,1980 Q3,small,small,small,small,422,527,637,650,468,520,639,648,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,bachelor,bachelor,bachelor,level1,level1,notladder,level1,11,4,28,11,afam,cauc,cauc,cauc,11,11,11,11,23,23,23,23,53ba52
female,cauc,1980 Q1,small,small,regular+aide,regular+aide,395,478,596,624,412,495,582,639,non-free,non-free,free,non-free,rural,rural,rural,rural,bachelor,master,master,bachelor,level1,level1,level1,level1,20,6,8,11,cauc,cauc,cauc,cauc,36,36,36,36,71,71,72,72,7ea328
male,cauc,1980 Q1,regular,regular+aide,regular+aide,regular+aide,422,544,584,633,528,557,611,645,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,master,master,probation,level1,level1,level3,0,10,27,19,cauc,cauc,cauc,cauc,33,33,33,33,67,67,67,67,3d763c
female,afam,1980 Q3,small,regular,small,small,433,558,569,636,468,526,552,667,free,free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,bachelor,master,master,level2,probation,notladder,level1,13,2,10,10,cauc,afam,afam,afam,11,11,11,11,24,24,24,24,2.81E+68
male,cauc,1979 Q3,regular,regular,regular,regular,461,604,588,624,559,572,615,626,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,master,bachelor,level1,level1,level1,level1,20,19,19,22,cauc,cauc,cauc,cauc,31,31,31,31,64,64,64,64,fcfccd
female,cauc,1980 Q3,small,small,small,small,490,651,684,728,576,592,699,700,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,probation,15,8,7,1,cauc,cauc,cauc,cauc,32,32,32,32,66,66,66,66,3c3988
female,cauc,1980 Q2,regular,regular+aide,regular+aide,regular+aide,474,604,608,665,536,592,632,684,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,master,bachelor,bachelor,level1,level2,level1,level1,10,10,13,30,cauc,cauc,cauc,cauc,1,1,1,1,1,1,1,1,8ed34b
male,afam,1980 Q2,regular+aide,regular,regular,small,414,487,542,555,429,477,536,526,free,free,free,free,inner-city,inner-city,inner-city,inner-city,master,master,bachelor,bachelor,level1,level1,probation,level1,22,19,2,29,cauc,cauc,cauc,afam,11,11,11,11,33,33,33,33,296284
female,cauc,1980 Q1,regular,regular+aide,regular+aide,regular+aide,468,579,614,644,489,529,596,634,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level3,level1,level3,16,16,8,12,cauc,cauc,cauc,cauc,35,35,35,35,69,69,69,69,8363f4
male,afam,1980 Q1,regular,small,small,small,424,533,577,575,478,538,568,599,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,master,master,level1,apprentice,level1,level1,6,13,33,18,afam,afam,afam,afam,11,11,11,11,19,19,19,19,62a667
female,cauc,1980 Q2,regular+aide,regular,regular,regular,430,533,618,636,473,542,568,622,free,non-free,free,free,rural,rural,rural,rural,master,master,bachelor,bachelor,level1,level1,level1,probation,8,11,19,3,cauc,cauc,cauc,cauc,24,24,24,24,57,57,57,57,8ec897
male,afam,1980 Q3,regular,small,small,small,456,519,579,626,528,520,572,634,non-free,non-free,non-free,free,inner-city,inner-city,inner-city,inner-city,bachelor,master,bachelor,bachelor,level1,level1,notladder,probation,10,17,2,3,afam,afam,cauc,afam,11,11,11,11,30,30,30,30,b80798
female,cauc,1980 Q2,small,small,small,small,440,544,593,647,484,505,548,626,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,master,master,master,level1,level1,level1,level1,8,10,18,11,cauc,cauc,afam,cauc,24,24,24,24,57,57,57,57,bda957
female,cauc,1980 Q2,regular+aide,regular,regular,regular,445,530,566,608,468,500,533,585,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,master,master,bachelor,master,level1,level1,level1,level2,14,5,23,9,cauc,cauc,cauc,cauc,12,12,12,12,36,36,36,36,8e8ebd
female,cauc,1980 Q3,regular+aide,regular+aide,regular+aide,regular+aide,414,590,604,670,484,557,574,678,non-free,free,free,free,rural,rural,rural,rural,master,bachelor,bachelor,master,level1,level1,level1,level1,12,21,14,9,cauc,cauc,cauc,cauc,41,41,41,41,79,79,79,79,dbc15d
female,cauc,1979 Q4,small,small,small,small,450,604,659,675,513,542,607,636,non-free,non-free,free,free,urban,urban,urban,urban,bachelor,bachelor,bachelor,bachelor,apprentice,level1,level1,level1,1,12,6,14,cauc,cauc,cauc,cauc,27,27,27,27,60,60,60,60,a233f0
female,cauc,1980 Q2,regular+aide,regular+aide,regular+aide,regular+aide,467,492,547,610,500,502,525,616,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,bachelor,master,level1,level1,apprentice,level1,10,9,2,15,cauc,cauc,cauc,cauc,34,34,34,34,68,68,68,68,2111dd
male,cauc,1980 Q1,small,small,small,small,400,485,566,559,459,572,620,583,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,master,level1,level1,level1,level1,13,6,20,19,cauc,cauc,cauc,cauc,6,6,6,6,8,8,8,8,680d4a
female,cauc,1980 Q2,small,small,small,small,434,471,560,639,513,535,552,667,free,free,free,free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level1,probation,level1,9,5,0,15,cauc,cauc,cauc,cauc,9,9,9,9,12,12,12,12,f8f916
female,cauc,1980 Q3,regular+aide,regular+aide,regular+aide,regular+aide,416,527,631,650,473,529,565,618,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,probation,level1,probation,13,0,16,1,cauc,cauc,cauc,cauc,40,40,40,40,76,77,77,77,3909a4
female,afam,1980 Q3,regular+aide,small,small,regular,470,544,582,622,489,538,579,639,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,master,bachelor,master,level1,level1,level1,level3,20,17,5,14,afam,cauc,cauc,cauc,11,11,11,11,27,27,27,27,729365
female,cauc,1980 Q1,regular+aide,regular+aide,regular+aide,regular+aide,430,651,650,644,494,601,620,678,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,master,master,bachelor,level1,level1,level1,level1,5,23,20,9,cauc,cauc,cauc,cauc,12,12,12,12,34,34,34,34,888fe6
female,cauc,1980 Q1,regular+aide,regular,regular+aide,regular+aide,470,629,650,670,536,612,639,651,free,free,free,free,rural,rural,rural,rural,master,bachelor,master,master,level1,level1,probation,level1,10,15,13,7,cauc,cauc,cauc,cauc,36,36,36,36,72,72,72,72,93151b
female,afam,1980 Q3,small,regular+aide,regular+aide,small,408,477,550,569,489,549,611,570,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,master,bachelor,level1,apprentice,level1,level1,5,1,12,29,cauc,afam,cauc,afam,11,11,11,11,29,29,29,33,c6f7d3
male,cauc,1979 Q4,regular+aide,regular,regular,small,565,604,684,693,547,601,659,774,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,master,master,level1,level1,level1,level1,9,20,11,4,cauc,cauc,cauc,cauc,21,21,21,21,49,49,49,49,7723bc
female,cauc,1980 Q3,small,small,regular,regular,428,544,622,702,500,545,611,636,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level1,level1,level1,6,12,26,17,cauc,cauc,cauc,cauc,29,29,29,29,62,62,62,62,3e4c8e
female,cauc,1979 Q3,regular,regular+aide,regular+aide,regular+aide,405,536,618,622,434,512,536,597,free,free,free,free,rural,rural,rural,rural,master,bachelor,master,master,level1,level1,level1,level1,8,8,14,4,afam,cauc,cauc,cauc,32,32,32,32,66,66,66,66,1e3307
male,cauc,1980 Q2,small,small,small,small,407,474,560,582,444,493,572,570,free,free,free,free,rural,rural,rural,rural,master+,master,master,master,level1,level1,level1,level1,8,3,12,14,cauc,cauc,cauc,cauc,41,41,41,41,78,78,78,78,f302a7
male,cauc,1980 Q1,regular,regular+aide,regular+aide,regular+aide,434,505,631,629,489,542,596,642,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,probation,level1,probation,2,0,16,1,cauc,cauc,cauc,cauc,40,40,40,40,76,77,77,77,832606
female,afam,1980 Q1,regular,regular+aide,regular+aide,regular,456,579,622,636,576,549,615,667,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,master,bachelor,bachelor,level1,level3,level1,level1,11,24,11,20,cauc,afam,cauc,cauc,11,11,11,11,22,22,22,22,2b7d1b
female,afam,1980 Q1,regular+aide,regular,regular,regular+aide,437,527,575,647,484,518,528,636,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,bachelor,master,level1,apprentice,level1,level2,7,1,12,14,cauc,cauc,afam,afam,11,11,11,11,22,22,22,22,dfc5bd
male,cauc,1979 Q4,small,small,small,small,503,564,614,629,513,601,648,651,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,level1,7,7,20,20,cauc,cauc,cauc,cauc,30,30,30,30,63,63,63,63,400d9c
female,afam,1980 Q2,regular,regular,regular,regular,421,463,529,573,513,502,525,568,free,free,free,free,inner-city,suburban,suburban,suburban,bachelor,bachelor,bachelor,bachelor,probation,level1,notladder,level1,0,4,4,7,cauc,cauc,afam,afam,11,11,11,11,31,20,20,20,24b48b
female,cauc,1980 Q2,small,small,small,small,431,514,618,624,506,532,611,616,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,master,master,level1,level1,notladder,level1,21,4,29,11,cauc,cauc,afam,cauc,24,24,24,24,56,56,56,56,d07d9e
male,afam,1979 Q4,regular,regular,regular,small,450,475,529,578,576,520,546,585,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,bachelor,bachelor,probation,level1,notladder,level1,0,14,32,29,cauc,cauc,afam,afam,11,11,11,11,31,31,31,33,4ed18f
female,afam,1980 Q3,regular+aide,regular+aide,regular+aide,regular+aide,425,527,584,614,459,523,541,579,non-free,non-free,non-free,non-free,urban,urban,urban,urban,master,master,master,master,level1,level1,level1,level1,12,14,18,36,cauc,cauc,cauc,cauc,7,7,7,7,10,10,10,10,1e1efd
male,cauc,1979 Q4,small,small,small,small,428,516,584,592,520,532,557,585,free,free,non-free,free,rural,rural,rural,rural,master,bachelor,bachelor,master,level1,level1,level2,level1,12,8,33,12,cauc,cauc,cauc,cauc,42,42,42,42,80,80,80,80,38c682
female,cauc,1980 Q1,regular+aide,regular,regular+aide,regular+aide,456,553,614,636,576,572,626,622,free,free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,notladder,notladder,probation,20,12,5,3,cauc,cauc,cauc,cauc,3,3,3,3,3,3,3,3,29d975
male,cauc,1980 Q1,regular+aide,regular,regular,regular,605,604,669,670,559,592,674,655,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level1,level1,level1,5,6,12,14,cauc,cauc,cauc,cauc,12,12,12,12,34,34,34,34,3704ce
female,afam,1980 Q1,regular+aide,regular,regular,regular,440,527,554,604,500,557,559,610,non-free,non-free,free,free,suburban,suburban,suburban,suburban,bachelor,bachelor,bachelor,bachelor,apprentice,level1,notladder,level1,1,4,4,7,afam,cauc,afam,afam,11,11,11,11,20,20,20,20,b0ad26
female,cauc,1979 Q4,regular+aide,regular+aide,regular+aide,regular+aide,445,553,596,616,478,518,568,655,free,free,free,free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level1,level1,notladder,9,20,19,2,cauc,cauc,cauc,cauc,31,31,31,31,65,65,65,65,4c51fc
male,cauc,1979 Q4,small,small,small,small,453,519,577,580,536,567,579,614,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,bachelor,master,bachelor,level1,level1,level1,apprentice,5,9,9,6,cauc,cauc,cauc,cauc,25,25,25,25,58,58,58,58,5.97E+98
female,afam,1979 Q4,small,small,small,small,483,512,538,582,513,562,577,591,free,free,free,free,suburban,suburban,suburban,suburban,bachelor,bachelor,bachelor,bachelor,level1,apprentice,apprentice,apprentice,3,1,2,3,cauc,cauc,cauc,cauc,18,18,18,18,44,44,44,44,43e26e
female,afam,1980 Q1,small,small,small,small,411,454,535,545,468,500,572,606,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,master,bachelor,bachelor,apprentice,apprentice,level1,probation,1,21,5,2,cauc,cauc,cauc,afam,11,11,11,11,26,26,26,26,4b7b83
male,cauc,1980 Q1,regular,regular,regular,regular,397,487,564,577,463,497,530,576,free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,bachelor,bachelor,apprentice,level1,level1,probation,2,11,19,3,cauc,cauc,cauc,cauc,24,24,24,24,57,57,57,57,d4d75e
male,asian,1980 Q2,regular+aide,regular,regular,regular,455,604,669,641,547,612,659,752,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,master,bachelor,master,level1,notladder,level1,level1,17,22,20,19,cauc,cauc,afam,cauc,18,18,18,18,43,43,43,43,3c832f
female,cauc,1980 Q3,regular+aide,regular+aide,regular+aide,regular+aide,413,475,550,608,484,486,523,588,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,master,master,level1,level1,level2,level1,13,3,11,4,cauc,cauc,cauc,cauc,23,23,23,23,55,55,55,55,ae3a12
female,cauc,1980 Q1,regular+aide,regular,regular,regular,440,519,557,606,489,535,572,629,free,free,free,free,rural,rural,rural,rural,master,bachelor,master,bachelor,level1,level1,level1,level1,9,8,9,24,cauc,cauc,cauc,cauc,31,31,31,31,65,65,65,65,286a10
male,afam,1979 Q4,small,small,small,small,425,469,559,572,454,477,543,588,non-free,free,non-free,non-free,inner-city,inner-city,inner-city,inner-city,bachelor,master,bachelor,bachelor,apprentice,apprentice,level1,probation,1,21,5,2,cauc,cauc,cauc,afam,11,11,11,11,26,26,26,26,6bf4cc
male,afam,1980 Q1,regular+aide,regular+aide,regular+aide,regular+aide,427,487,582,597,478,549,574,634,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,bachelor,master,master,level1,probation,level1,level1,7,4,19,19,cauc,cauc,cauc,afam,22,22,22,22,54,54,54,54,eab454
male,cauc,1980 Q2,small,small,small,small,458,604,579,593,484,529,563,583,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,master,bachelor,level1,level3,level1,level1,4,26,9,5,cauc,cauc,cauc,cauc,5,5,5,5,7,7,7,7,483f88
female,cauc,1980 Q3,regular+aide,regular,regular,small,430,553,591,588,484,490,561,577,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,master,master,level1,level1,level1,level1,9,20,11,4,cauc,cauc,cauc,cauc,21,21,21,21,49,49,49,49,8d6bae
male,cauc,1980 Q3,regular,regular+aide,regular+aide,regular+aide,433,505,611,657,513,553,603,631,free,non-free,non-free,free,rural,rural,rural,rural,bachelor,bachelor,master,master,probation,level1,level1,level3,0,10,27,19,cauc,cauc,cauc,cauc,33,33,33,33,67,67,67,67,b7d85c
female,afam,1979 Q4,small,small,small,small,418,507,599,650,423,493,603,655,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,master,master,master,apprentice,level1,notladder,level1,3,4,29,11,cauc,cauc,afam,cauc,24,24,24,24,56,56,56,56,72e5e4
female,afam,1979 Q4,regular,regular,regular,regular,443,501,560,602,463,518,541,596,free,free,free,non-free,inner-city,inner-city,inner-city,inner-city,master,master,master,master,level1,notladder,level1,level1,15,3,30,22,afam,cauc,afam,cauc,11,11,11,11,26,26,26,26,300eb7
